  1.2997561e+001  4.8167561e-003  6.8689564e+000  6.6615165e-005
  1.4000931e+001  2.9647170e-003  6.8709486e+000  5.1369476e-005
  1.4999966e+001  4.7643613e-003  6.8730330e+000  7.0789104e-005
  1.6000145e+001  5.4301431e-003  6.8753022e+000  6.5595400e-005
  1.6999317e+001  2.8803066e-003  6.8775225e+000  4.7317744e-005
  1.7998939e+001  3.3316012e-003  6.8801895e+000  6.4818377e-005
  1.9999761e+001  2.1674449e-003  6.8859364e+000  6.2683429e-005
  2.2000179e+001  1.9006484e-003  6.8926743e+000  6.4066246e-005
  2.3999885e+001  1.8803182e-003  6.9008356e+000  5.2766300e-005
  2.5997767e+001  2.9299011e-003  6.9106748e+000  6.1982076e-005
  2.7998977e+001  1.3558174e-003  6.9214221e+000  5.9633432e-005
  3.0001282e+001  1.5361470e-003  6.9346068e+000  6.9221305e-005
  3.3000883e+001  1.1824857e-003  6.9572959e+000  6.0218325e-005
  3.6000739e+001  1.5749944e-003  6.9853299e+000  7.3555767e-005
  3.9002107e+001  1.9073540e-003  7.0197740e+000  7.7363201e-005
  4.1999646e+001  1.0242874e-003  7.0617861e+000  6.5539449e-005
  4.6000756e+001  1.2983809e-003  7.1280451e+000  6.8181535e-005
  5.0001659e+001  6.6756890e-004  7.2069815e+000  7.5973914e-005
  5.5001021e+001  7.6365774e-004  7.3256884e+000  8.5584957e-005
  6.0001803e+001  8.2893480e-004  7.4665669e+000  8.6524176e-005
  6.6000530e+001  2.1154443e-003  7.6612537e+000  8.2358333e-005
  7.2001999e+001  7.7402824e-004  7.8844435e+000  1.3578780e-004
  8.0001424e+001  7.4825896e-004  8.2177386e+000  1.3614571e-004
  9.0001385e+001  5.6622071e-004  8.6861487e+000  1.0766269e-004
  1.0000019e+002  7.4515894e-004  9.2015911e+000  8.2672032e-005
  1.1000076e+002  2.1380337e-003  9.7511958e+000  1.3792896e-004
  1.2000113e+002  1.0433014e-003  1.0329472e+001  1.6509257e-004
  1.3000178e+002  6.6600157e-004  1.0931233e+001  1.6979465e-004
  1.4000163e+002  8.5945916e-004  1.1548888e+001  1.5232313e-004
  1.5000162e+002  6.3385199e-004  1.2175194e+001  1.2116037e-004
  1.6000145e+002  8.8317346e-004  1.2805601e+001  1.0687997e-004
  1.7000178e+002  4.8561342e-004  1.3439833e+001  1.1990312e-004
  1.8000156e+002  4.9573851e-004  1.4079680e+001  1.3851844e-004
  1.9000151e+002  2.1485311e-003  1.4725219e+001  1.5853345e-004
  2.0000219e+002  6.6234874e-004  1.5374282e+001  1.9099319e-004
  2.1500297e+002  7.6339236e-004  1.6343978e+001  1.8639321e-004
  2.3000544e+002  4.8957890e-004  1.7307682e+001  2.1660733e-004
  2.5000607e+002  1.0583426e-003  1.8583301e+001  2.1225433e-004
  2.7000763e+002  2.8217854e-004  1.9858611e+001  2.2601027e-004
  2.9000806e+002  3.6427600e-004  2.1125333e+001  2.2103661e-004
  3.1000930e+002  2.5336936e-004  2.2372356e+001  2.9321129e-004
