172510	1.5
171770	2
169360	3
166110	4
162210	5
157650	6
153040	7
148230	8
144160	9
140550	10
137330	11
134740	12
132170	13
129830	14
127710	15
125670	16
123900	17
121950	18
119960	19
117950	20
115450	21
113020	22
111980	23
111500	24
111180	25
110930	26
110730	27
110530	28
110350	29
110180	30
110020	31
109850	32
109690	33
109540	34
109380	35
109220	36
109070	37
108910	38
108760	39
108600	40
106990	50
105340	60
103660	70
102460	77
101940	80
100190	90
98380	100
93660	125
88640	150
83440	175
78050	200
72540	225
66950	250
61270	275
55520	300
49780	325
44040	350
38290	375
32550	400
26810	425
21060	450
