1.7251	1.5
1.7177	2
1.6936	3
1.6611	4
1.6221	5
1.5765	6
1.5304	7
1.4823	8
1.4416	9
1.4055	10
1.3733	11
1.3474	12
1.3217	13
1.2983	14
1.2771	15
1.2567	16
1.239	17
1.2195	18
1.1996	19
1.1795	20
1.1545	21
1.1302	22
1.1198	23
1.115	24
1.1118	25
1.1093	26
1.1073	27
1.1053	28
1.1035	29
1.1018	30
1.1002	31
1.0985	32
1.0969	33
1.0954	34
1.0938	35
1.0922	36
1.0907	37
1.0891	38
1.0876	39
1.086	40
1.0699	50
1.0534	60
1.0366	70
1.0246	77
1.0194	80
1.0019	90
0.9838	100
0.9366	125
0.8864	150
0.8344	175
0.7805	200
0.7254	225
0.6695	250
0.6127	275
0.5552	300
0.4978	325
0.4404	350
0.3829	375
0.3255	400
0.2681	425
0.2106	450
