1.7249	1.5
1.7183	2
1.6929	3
1.661	4
1.6221	5
1.5756	6
1.5294	7
1.4816	8
1.4409	9
1.4045	10
1.3723	11
1.3465	12
1.321	13
1.2978	14
1.2768	15
1.2565	16
1.2389	17
1.2195	18
1.1997	19
1.1797	20
1.1548	21
1.1304	22
1.1199	23
1.115	24
1.1118	25
1.1093	26
1.1072	27
1.1053	28
1.1035	29
1.1017	30
1.1001	31
1.0984	32
1.0968	33
1.0952	34
1.0937	35
1.0921	36
1.0906	37
1.089	38
1.0874	39
1.0858	40
1.0698	50
1.0532	60
1.0364	70
1.0244	77
1.0193	80
1.0017	90
0.9837	100
0.9365	125
0.8863	150
0.8344	175
0.7805	200
0.7254	225
0.6696	250
0.6128	275
0.5553	300
0.4978	325
0.4403	350
0.3828	375
0.3253	400
0.2678	425
0.2104	450
